Rank,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SO,SB,CS,AVG,OBP,SLG,OPS
1,Cody Bellinger,LAD,1B,51,184,47,71,12,1,18,48,31,7,3,.386,.470,.755,1.226
2,Josh Bell,PIT,1B,50,189,38,64,17,2,16,47,45,0,1,.339,.407,.704,1.110
3,Tim Anderson,CWS,SS,46,178,28,60,6,0,8,25,36,13,2,.337,.369,.506,.875
4,Jorge Polanco,MIN,SS,50,197,33,66,14,5,9,26,33,1,1,.335,.408,.594,1.002
5,Nolan Arenado,COL,3B,50,206,40,69,14,2,15,44,24,1,1,.335,.378,.641,1.019
6,Jeff McNeil,NYM,2B,46,165,20,55,13,1,2,15,20,0,4,.333,.418,.461,.879
7,Rafael Devers,BOS,3B,52,197,37,65,14,0,7,30,33,7,3,.330,.393,.508,.900
8,Anthony Rendon,WSH,3B,39,143,39,47,18,1,10,31,27,1,0,.329,.423,.678,1.101
9,Elvis Andrus,TEX,SS,40,165,26,54,10,1,6,26,29,9,2,.327,.376,.509,.885
10,Josh Reddick,HOU,RF,47,169,23,55,8,0,4,15,22,2,1,.325,.378,.444,.821
