Rank,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,SO,SB,CS,AVG,OBP,SLG,OPS
1,Christian Yelich,MIL,LF,47,169,42,55,7,0,21,43,35,10,1,.325,.436,.740,1.176
2,Cody Bellinger,LAD,1B,51,184,47,71,12,1,18,48,31,7,3,.386,.470,.755,1.226
3,Pete Alonso,NYM,1B,51,184,32,46,9,1,17,38,61,0,0,.250,.330,.587,.917
3,George Springer,HOU,CF,48,185,41,57,9,1,17,43,45,4,1,.308,.389,.643,1.032
5,Josh Bell,PIT,1B,50,189,38,64,17,2,16,47,45,0,1,.339,.407,.704,1.110
5,Eddie Rosario,MIN,LF,50,200,37,57,8,0,16,45,31,2,0,.285,.316,.565,.881
7,Nolan Arenado,COL,3B,50,206,40,69,14,2,15,44,24,1,1,.335,.378,.641,1.019
7,Alex Bregman,HOU,3B,52,183,32,48,7,0,15,35,33,2,1,.262,.390,.546,.937
7,Joey Gallo,TEX,LF,45,155,37,43,11,1,15,35,67,3,0,.277,.423,.652,1.075
7,Joc Pederson,LAD,LF,47,143,33,36,3,3,15,29,31,0,0,.252,.365,.629,.994
